"zip","schools","numSeats","totPop","kidsUnder3","perCapitaIncome","incomeQuantile","incomeBin","seatsPer100Kids","seatsPerCapita","seatsQuantile","seatsBin"
11413,7,475,39922,1239,27504,0.549707602339181,26441,38.3373688458434,0.0118982014929112,0.60233918128655,34.642
11414,5,204,28480,643,33366,0.707602339181287,63233,31.7262830482115,0.00716292134831461,0.432748538011696,34.642
11415,4,262,18677,644,32333,0.684210526315789,63233,40.6832298136646,0.0140279488140494,0.660818713450292,34.642
11416,5,435,23852,946,19760,0.228070175438596,17896,45.9830866807611,0.0182374643635754,0.801169590643275,55.156
11417,2,117,29928,1113,23179,0.35672514619883,26441,10.5121293800539,0.0039093825180433,0.064327485380117,18.066
11418,12,713,36005,1238,22396,0.321637426900585,17896,57.5928917609047,0.0198028051659492,0.894736842105263,55.156
11419,13,573,48138,1384,18916,0.181286549707602,17896,41.4017341040462,0.0119032780755328,0.678362573099415,55.156
11420,6,327,47243,1840,23037,0.350877192982456,26441,17.7717391304348,0.00692166035179815,0.146198830409357,18.066
11421,8,489,40975,1790,21615,0.269005847953216,17896,27.3184357541899,0.0119341061622941,0.304093567251462,18.066
11422,5,371,31739,1308,28860,0.60233918128655,26441,28.3639143730887,0.011689089133243,0.345029239766082,34.642
11423,5,327,30890,1102,25149,0.461988304093567,26441,29.6733212341198,0.0105859501456782,0.374269005847953,34.642
11426,5,262,19165,615,30132,0.631578947368421,26441,42.6016260162602,0.0136707539786068,0.707602339181287,55.156
11427,4,258,24385,853,28916,0.608187134502924,26441,30.2461899179367,0.0105802747590732,0.391812865497076,34.642
11428,5,315,19764,616,26421,0.502923976608187,26441,51.1363636363636,0.0159380692167577,0.853801169590643,55.156
11429,7,393,29167,856,23491,0.385964912280702,26441,45.911214953271,0.0134741317242089,0.795321637426901,55.156
11432,17,892,56900,2309,23758,0.409356725146199,26441,38.6314421827631,0.015676625659051,0.608187134502924,34.642
11433,7,458,30076,1264,19225,0.192982456140351,17896,36.2341772151899,0.0152280888416013,0.538011695906433,34.642
11434,18,1029,61183,2036,23536,0.39766081871345,26441,50.5402750491159,0.0168183972672147,0.847953216374269,55.156
11435,13,888,52358,2203,23205,0.362573099415205,26441,40.3086699954607,0.0169601589059934,0.637426900584795,34.642
11436,4,226,16956,697,23452,0.380116959064327,26441,32.4246771879483,0.0133286152394433,0.461988304093567,34.642
11691,13,947,59376,3361,18749,0.175438596491228,17896,28.1761380541506,0.0159492050660199,0.333333333333333,18.066
11692,6,352,17070,649,19524,0.210526315789474,17896,54.2372881355932,0.0206209724663152,0.87719298245614,55.156
11693,4,177,11407,403,27226,0.532163742690059,26441,43.9205955334988,0.0155167879372315,0.736842105263158,55.156
11694,3,176,20792,585,37851,0.771929824561403,63233,30.0854700854701,0.00846479415159677,0.380116959064327,34.642
11697,1,61,4381,105,43799,0.818713450292398,63233,58.0952380952381,0.0139237616982424,0.900584795321637,55.156
