ZIP,Dependents,AGI,NumReturns,AvgAGI
11693,"3,500","250,944","5,380"," 46,644 "
11694,"4,690","748,839","8,290"," 90,330 "
11697,960,"168,179","1,870"," 89,935 "
11701,"8,920","759,400","14,610"," 51,978 "
11702,"3,930","721,375","7,570"," 95,294 "
11703,"5,050","560,982","9,080"," 61,782 "
11704,"11,630","1,163,187","20,410"," 56,991 "
11705,"2,640","384,585","3,960"," 97,117 "
11706,"21,570","1,661,901","31,660"," 52,492 "
11709,"1,960","323,461","3,460"," 93,486 "
11710,"10,820","1,601,988","17,760"," 90,202 "
11713,"3,640","328,344","5,260"," 62,423 "
11714,"6,560","861,567","12,330"," 69,876 "
11715,"1,340","205,075","2,360"," 86,896 "
11716,"3,020","386,752","5,520"," 70,064 "
11717,"25,120","1,084,585","31,740"," 34,171 "
11718,"1,030","234,947","1,740"," 135,027 "
11719,780,"137,129","1,610"," 85,173 "
11720,"8,910","972,178","14,420"," 67,419 "
11721,"2,040","451,128","3,230"," 139,668 "
11722,"14,010","757,855","18,950"," 39,992 "
11724,"1,250","481,045","1,710"," 281,313 "
11725,"9,390","1,414,634","14,410"," 98,170 "
11726,"6,830","480,907","10,790"," 44,570 "
11727,"8,020","866,083","14,320"," 60,481 "
11729,"8,620","852,833","14,550"," 58,614 "
11730,"4,450","644,587","7,270"," 88,664 "
11731,"9,670","1,328,820","14,910"," 89,123 "
11732,990,"246,194","1,840"," 133,801 "
11733,"5,580","1,847,757","8,610"," 214,606 "
11735,"9,340","1,300,765","17,140"," 75,891 "
11738,"5,490","525,650","8,290"," 63,408 "
11740,"3,050","447,731","4,550"," 98,402 "
11741,"8,220","1,028,609","14,180"," 72,539 "
11742,"4,320","491,669","6,970"," 70,541 "
11743,"12,250","3,227,837","21,860"," 147,660 "
11746,"22,280","3,077,723","33,360"," 92,258 "
11747,"6,190","2,259,270","10,530"," 214,556 "
11749,"1,010","110,188","1,800"," 61,216 "
11751,"4,420","598,056","7,710"," 77,569 "
11752,"2,970","330,538","5,240"," 63,080 "
11753,"4,540","1,333,492","6,440"," 207,064 "
11754,"5,580","789,736","9,420"," 83,836 "
11755,"3,530","501,177","6,110"," 82,026 "
11756,"13,070","1,540,228","22,880"," 67,318 "
11757,"13,270","1,349,487","23,370"," 57,744 "
11758,"16,130","2,500,277","28,390"," 88,069 "
11762,"7,010","1,046,771","11,590"," 90,317 "
11763,"8,850","864,405","14,530"," 59,491 "
11764,"4,430","626,627","6,290"," 99,623 "
11765,140,"164,383",330," 498,130 "
11766,"3,960","663,114","6,170"," 107,474 "
11767,"4,890","648,466","7,150"," 90,695 "
11768,"6,630","1,449,565","10,870"," 133,355 "
11769,"2,420","411,327","5,000"," 82,265 "
11771,"2,860","1,193,790","5,150"," 231,804 "
11772,"12,590","1,261,967","22,370"," 56,413 "
11776,"7,410","780,579","11,910"," 65,540 "
11777,"2,400","644,790","4,590"," 140,477 "
11778,"3,960","420,849","6,080"," 69,219 "
11779,"11,590","1,209,888","19,170"," 63,114 "
11780,"4,710","1,354,738","7,640"," 177,322 "
11782,"4,670","719,107","7,990"," 90,001 "
11783,"6,470","954,261","10,930"," 87,307 "
11784,"7,630","694,612","12,050"," 57,644 "
11786,"2,260","299,758","3,120"," 96,076 "
11787,"10,870","1,751,479","17,060"," 102,666 "
11788,"5,320","788,395","8,480"," 92,971 "
11789,"2,300","240,539","3,720"," 64,661 "
11790,"3,980","719,391","6,710"," 107,212 "
11791,"8,820","2,194,523","12,090"," 181,516 "
11792,"2,670","387,695","4,230"," 91,654 "
11793,"10,380","1,496,051","16,580"," 90,232 "
11795,"8,210","1,130,836","13,000"," 86,987 "
11796,"1,130","142,584","1,860"," 76,658 "
11797,"2,630","1,026,690","4,600"," 223,193 "
11798,"6,640","326,135","8,150"," 40,017 "
11801,"12,070","1,347,370","21,170"," 63,645 "
11803,"9,080","1,630,582","14,190"," 114,911 "
11804,"1,670","280,211","2,520"," 111,195 "
11901,"7,170","628,869","12,510"," 50,269 "
11933,"1,660","233,953","3,450"," 67,812 "
11934,"2,630","302,216","3,840"," 78,702 "
11935,890,"175,393","1,850"," 94,807 "
11937,"4,480","948,592","9,010"," 105,282 "
11939,150,"47,338",510," 92,820 "
11940,"1,570","249,769","2,750"," 90,825 "
11941,680,"103,424","1,310"," 78,950 "
11942,"1,550","212,036","2,650"," 80,014 "
11944,"1,040","141,388","2,300"," 61,473 "
11946,"3,990","453,175","7,390"," 61,323 "
11948,300,"51,340",630," 81,492 "
11949,"4,640","548,277","6,930"," 79,116 "
11950,"5,760","358,437","7,680"," 46,671 "
11951,"4,330","285,220","6,250"," 45,635 "
11952,"1,280","236,034","2,620"," 90,089 "
11953,"3,300","382,264","6,640"," 57,570 "
11954,"1,030","203,671","2,740"," 74,332 "
11955,690,"108,814","1,760"," 61,826 "
11957,150,"56,364",460," 122,530 "
11958,270,"38,439",490," 78,447 "
11961,"2,940","404,518","6,870"," 58,882 "
11963,"1,720","477,523","4,140"," 115,344 "
11967,"8,430","666,082","12,480"," 53,372 "
11968,"2,670","597,606","5,320"," 112,332 "
11971,"1,350","276,024","3,100"," 89,040 "
11976,550,"278,790","1,170"," 238,282 "
11977,630,"124,283","1,300"," 95,602 "
11978,"1,010","219,350","1,940"," 113,067 "
11980,"1,120","167,003","2,240"," 74,555 "
12007,40,"5,509",100," 55,090 "
12008,150,"17,202",230," 74,791 "
12009,"2,000","282,092","3,720"," 75,831 "
12010,"7,460","600,793","13,180"," 45,584 "
12015,860,"104,970","1,650"," 63,618 "
12017,80,"13,143",170," 77,312 "
12018,"2,070","265,396","3,860"," 68,755 "
12019,"4,320","622,569","7,690"," 80,958 "
12020,"8,650","1,006,616","15,890"," 63,349 "
12022,230,"19,138",380," 50,363 "
12023,550,"56,000","1,010"," 55,446 "
12025,"1,520","145,450","2,700"," 53,870 "
12027,"1,210","165,430","2,020"," 81,896 "
