Zip,Count,AGI,TotInc
11769,"5,000"," 82,265 "," 83,355 "
11771,"5,150"," 231,804 "," 236,033 "
11772,"22,370"," 56,413 "," 57,013 "
11776,"11,910"," 65,540 "," 66,179 "
11777,"4,590"," 140,477 "," 142,597 "
11778,"6,080"," 69,219 "," 69,893 "
11779,"19,170"," 63,114 "," 63,643 "
11780,"7,640"," 177,322 "," 179,924 "
11782,"7,990"," 90,001 "," 91,090 "
11783,"10,930"," 87,307 "," 88,328 "
11784,"12,050"," 57,644 "," 58,098 "
11786,"3,120"," 96,076 "," 97,366 "
11787,"17,060"," 102,666 "," 104,061 "
11788,"8,480"," 92,971 "," 94,113 "
11789,"3,720"," 64,661 "," 65,298 "
11790,"6,710"," 107,212 "," 108,621 "
11791,"12,090"," 181,516 "," 185,262 "
11792,"4,230"," 91,654 "," 93,036 "
11793,"16,580"," 90,232 "," 91,310 "
11795,"13,000"," 86,987 "," 88,223 "
11796,"1,860"," 76,658 "," 77,495 "
11797,"4,600"," 223,193 "," 228,813 "
11798,"8,150"," 40,017 "," 40,354 "
11801,"21,170"," 63,645 "," 64,346 "
11803,"14,190"," 114,911 "," 117,190 "
11804,"2,520"," 111,195 "," 113,157 "
11901,"12,510"," 50,269 "," 50,899 "
11933,"3,450"," 67,812 "," 68,726 "
11934,"3,840"," 78,702 "," 79,724 "
11935,"1,850"," 94,807 "," 96,714 "
11937,"9,010"," 105,282 "," 107,966 "
11939,510," 92,820 "," 94,531 "
11940,"2,750"," 90,825 "," 92,203 "
11941,"1,310"," 78,950 "," 80,691 "
11942,"2,650"," 80,014 "," 81,647 "
11944,"2,300"," 61,473 "," 62,400 "
11946,"7,390"," 61,323 "," 62,641 "
11948,630," 81,492 "," 83,029 "
11949,"6,930"," 79,116 "," 80,046 "
11950,"7,680"," 46,671 "," 47,002 "
11951,"6,250"," 45,635 "," 45,953 "
11952,"2,620"," 90,089 "," 91,793 "
11953,"6,640"," 57,570 "," 58,056 "
11954,"2,740"," 74,332 "," 76,547 "
11955,"1,760"," 61,826 "," 62,433 "
11957,460," 122,530 "," 125,472 "
11958,490," 78,447 "," 95,751 "
11961,"6,870"," 58,882 "," 59,364 "
11963,"4,140"," 115,344 "," 118,860 "
11967,"12,480"," 53,372 "," 53,803 "
11968,"5,320"," 112,332 "," 115,093 "
11971,"3,100"," 89,040 "," 90,775 "
11976,"1,170"," 238,282 "," 244,496 "
11977,"1,300"," 95,602 "," 98,232 "
11978,"1,940"," 113,067 "," 115,185 "
11980,"2,240"," 74,555 "," 75,347 "
12007,100," 55,090 "," 53,500 "
12008,230," 74,791 "," 76,387 "
12009,"3,720"," 75,831 "," 76,929 "
12010,"13,180"," 45,584 "," 46,107 "
12015,"1,650"," 63,618 "," 64,380 "
12017,170," 77,312 "," 78,618 "
12018,"3,860"," 68,755 "," 69,834 "
12019,"7,690"," 80,958 "," 81,998 "
12020,"15,890"," 63,349 "," 64,166 "
12022,380," 50,363 "," 50,834 "
12023,"1,010"," 55,446 "," 56,080 "
12025,"2,700"," 53,870 "," 54,607 "
12027,"2,020"," 81,896 "," 83,014 "
12028,600," 49,443 "," 50,338 "
12029,510," 74,347 "," 76,241 "
12031,110," 37,236 "," 37,509 "
12032,480," 54,177 "," 52,008 "
12033,"4,090"," 65,674 "," 66,569 "
12035,410," 44,073 "," 44,437 "
12037,"1,730"," 54,879 "," 56,061 "
12041,290," 52,431 "," 52,879 "
12042,220," 51,464 "," 52,023 "
12043,"3,080"," 51,075 "," 51,764 "
12046,320," 64,219 "," 64,869 "
12047,"9,980"," 52,245 "," 52,800 "
12051,"1,780"," 53,639 "," 54,314 "
12052,720," 56,579 "," 57,181 "
12053,"2,130"," 65,096 "," 65,837 "
12054,"8,840"," 91,195 "," 93,094 "
12056,"1,180"," 70,648 "," 71,535 "
12057,760," 43,500 "," 44,220 "
12058,650," 50,082 "," 50,526 "
12059,830," 59,386 "," 59,894 "
12060,680," 69,603 "," 71,037 "
12061,"4,920"," 77,189 "," 78,406 "
12062,840," 54,625 "," 55,377 "
12063,290," 68,866 "," 70,603 "
12064,220," 35,518 "," 35,909 "
12065,"22,140"," 77,323 "," 78,442 "
12066,980," 55,647 "," 56,158 "
12067,780," 64,518 "," 65,368 "
12068,"1,380"," 46,471 "," 47,014 "
12070,640," 61,978 "," 62,748 "
12071,120," 44,983 "," 45,350 "
12072,"1,180"," 49,696 "," 50,079 "
12074,"1,490"," 59,815 "," 60,799 "
12075,"1,480"," 66,647 "," 68,032 "
12076,560," 47,057 "," 47,800 "
12077,"3,220"," 85,533 "," 86,964 "
12078,"9,950"," 40,692 "," 41,168 "
12083,"1,870"," 53,282 "," 53,894 "
12084,"2,300"," 74,976 "," 76,135 "
12085,220," 42,445 "," 42,686 "
12086,960," 53,261 "," 54,043 "
12087,590," 55,192 "," 55,824 "
12090,"2,640"," 48,484 "," 49,080 "
12092,520," 49,563 "," 50,173 "
12093,700," 45,189 "," 45,757 "
12094,"1,080"," 53,770 "," 54,319 "
12095,"5,600"," 44,935 "," 45,348 "
12106,"1,350"," 68,147 "," 69,268 "
12108,230," 54,104 "," 54,778 "
12110,"10,250"," 68,142 "," 69,230 "
12116,800," 44,558 "," 45,136 "
12117,"1,540"," 46,839 "," 47,271 "
12118,"7,520"," 62,459 "," 63,160 "
12120,270," 53,989 "," 54,781 "
12121,930," 64,322 "," 65,176 "
12122,"1,860"," 45,783 "," 46,322 "
12123,"2,570"," 59,368 "," 60,146 "
12125,740," 54,418 "," 55,232 "
12130,550," 48,904 "," 49,458 "
12131,100," 45,590 "," 46,090 "
12134,"1,710"," 49,280 "," 49,922 "
12136,430," 100,967 "," 103,805 "
12137,860," 58,421 "," 59,009 "
12138,"1,330"," 52,687 "," 53,338 "
12139,140," 49,143 "," 49,964 "
12140,910," 63,718 "," 64,345 "
12143,"2,460"," 51,928 "," 52,328 "
12144,"10,460"," 54,948 "," 55,544 "
12147,290," 65,445 "," 66,172 "
12148,"2,410"," 101,279 "," 102,823 "
12149,990," 44,529 "," 44,905 "
12150,470," 52,534 "," 52,989 "
12151,440," 64,159 "," 65,089 "
12153,490," 57,524 "," 58,761 "
12154,"1,450"," 60,008 "," 60,801 "
12155,760," 41,434 "," 42,166 "
12156,430," 61,540 "," 62,665 "
12157,"1,800"," 52,782 "," 53,363 "
12158,"3,130"," 65,614 "," 66,342 "
12159,"4,360"," 122,521 "," 125,208 "
12160,440," 48,177 "," 48,677 "
12164,270," 48,407 "," 49,830 "
12165,210," 103,952 "," 107,105 "
12166,660," 42,835 "," 43,292 "
12167,"1,130"," 44,282 "," 44,900 "
12168,940," 50,866 "," 51,459 "
12169,160," 55,463 "," 55,888 "
12170,"2,570"," 57,265 "," 58,050 "
12173,740," 53,780 "," 54,873 "
12175,340," 47,468 "," 47,776 "
12176,120," 53,925 "," 54,175 "
12180,"22,980"," 48,151 "," 48,731 "
12182,"7,070"," 44,844 "," 45,249 "
12183,"1,430"," 39,918 "," 40,190 "
12184,"3,280"," 70,504 "," 71,383 "
12185,960," 62,840 "," 63,491 "
12186,"3,330"," 86,020 "," 87,580 "
12187,430," 42,498 "," 42,947 "
12188,"5,920"," 58,692 "," 59,372 "
12189,"9,090"," 47,678 "," 48,147 "
12190,360," 48,186 "," 48,631 "
12192,700," 51,301 "," 51,813 "
12193,"1,050"," 58,270 "," 59,010 "
12194,110," 50,136 "," 50,745 "
12196,"1,560"," 73,149 "," 74,128 "
12197,950," 44,938 "," 45,513 "
12198,"4,000"," 67,463 "," 68,412 "
12202,"4,250"," 27,064 "," 27,273 "
12203,"13,530"," 70,993 "," 71,912 "
